#Fun Tub1
se,UFFE,01.88
gb,TWE2001,02.31
,DAGREATEST255,02.43
jp,GREEN-CAT_M75,02.43
de,T-K-O-M,02.50
jp,OCHLMUSHYA,02.53
jp,DORITARO,02.56
,CONCEPTFLY,02.58
,GMAN156,02.60
gb,FLASHERTAIT,02.65
#Fun Tub2
gb,TWE2001,01.43
se,UFFE,01.55
de,T-K-O-M,01.55
,RO3478,01.56
gb,WAYNE_GARCIA,01.60
de,EISDIECHER,01.63
jp,OCHLMUSHYA,01.65
fi,BUMTHPS,01.65
,MENENO,01.66
,DAGREATEST255,01.66
#Fun Tub3
gb,TWE2001,02.63
se,UFFE,02.68
de,T-K-O-M,02.70
jp,GREEN-CAT_M75,02.80
,DAGREATEST255,02.86
,SPYDER68,03.00
gb,FLASHERTAIT,03.03
jp,DORITARO,03.05
,ASEDAKU,03.06
,SAULH,03.08
#Fun Tub4
gb,TWE2001,01.53
jp,GREEN-CAT_M75,02.00
gb,AERNATIVE,02.33
se,UFFE,02.80
de,T-K-O-M,02.96
,DAGREATEST255,03.18
,SPYDER68,03.28
jp,DORITARO,03.56
gb,FLASHERTAIT,03.76
jp,OCHLMUSHYA,03.78
#Fun Tub5
gb,TWE2001,04.38
jp,DRY_DRY_9-1,04.40
se,UFFE,04.48
ca,POORSENUA,04.50
ca,OKAORI-,04.50
de,T-K-O-M,04.53
,GTH99,04.56
ca,MADMAN6955,04.56
,UFFEPUFFE,04.60
,CRABOO,04.60
#Fun Tub6
jp,DRY_DRY_9-1,02.51
gb,TWE2001,02.51
de,T-K-O-M,02.55
se,UFFE,02.56
jp,OCHLMUSHYA,02.58
,DAGREATEST255,02.60
gb,ROCKYWASHERE2008,02.71
,SAULH,02.75
gb,EASYRIDER56,02.75
au,CHEESE_IS_AWSOM,02.75
#Fun Tub7
gb,TWE2001,00.96
jp,BONBOONBOOON,01.06
de,T-K-O-M,01.10
,PEZEX,01.11
jp,GREEN-CAT_M75,01.11
se,UFFE,01.13
,FUZZYNUGZ,01.16
gb,AERNATIVE,01.21
fi,BUMTHPS,01.23
,POOLLOOP,01.26
#Fun Tub8
gb,TWE2001,02.28
de,T-K-O-M,02.88
jp,GREEN-CAT_M75,02.95
se,UFFE,02.98
,DAGREATEST255,03.21
jp,TYAMAWOU,03.21
gb,ISHTONYOURHED,03.38
jp,HARU-KUN,03.65
jp,DORITARO,04.00
,KOMACHAN,04.13
#Fun Tub9
gb,TWE2001,02.81
de,T-K-O-M,02.93
se,UFFE,02.93
,DAGREATEST255,02.98
,SPLMS,03.23
,SAULH,03.26
jp,GREEN-CAT_M75,03.35
,POOLLOOP,03.36
gb,EASYRIDER56,03.38
,KOMACHAN,03.40
#Fun Tub10
gb,TWE2001,10.63
,DAGREATEST255,10.66
se,UFFE,11.13
gb,FLASHERTAIT,11.16
jp,GREEN-CAT_M75,11.30
,DORITARO,11.35
gb,EASYRIDER56,11.45
de,T-K-O-M,11.65
,ACE75ACE75ACE,12.10
,SPLMS,12.18
#Fun Tub11
gb,TWE2001,01.05
de,T-K-O-M,01.13
jp,OCHLMUSHYA,01.18
se,UFFE,01.21
us,OOF_MY_BACK,01.25
jp,DORITARO,01.28
gb,EASYRIDER56,01.31
,DAGREATEST255,01.33
,SAULH,01.41
de,EISDIECHER,01.41
#Fun Tub12
gb,TWE2001,02.63
de,T-K-O-M,02.66
se,UFFE,02.28
jp,GREEN-CAT_M75,02.78
,DAGREATEST255,02.90
,TSUNEPOMONA,03.05
,KOMACHAN,03.06
gb,HDLAW,03.11
,SPYDER68,03.15
gb,FLASHERTAIT,03.16
#Fun Tub13
,FINATH,00.00
,STIMM3R,00.00
se,UFFE,00.00
,CHARLTON_BEN,00.00
,BLACKBIRD20,00.00
,ACSERAPH,00.00
,YAN-SAN,00.00
,ACE75ACE75ACE,00.00
,SAULH,00.00
,ASHTFF,00.00
#Fun Tub14
gb,TWE2001,03.13
jp,GREEN-CAT_M75,03.18
de,T-K-O-M,03.21
jp,DORITARO,03.28
se,UFFE,03.28
,DAGREATEST255,03.36
jp,OCHLMUSHYA,03.70
,DEMONIAK,03.75
gb,FLASHERTAIT,03.96
us,PAIN2ITSMAXIMUM,03.98
#Fun Tub15
gb,TWE2001,05.90
se,UFFE,06.73
de,DQBI,06.86
,DAGREATEST255,06.88
,LOLZZ-KURT,06.88
,ONDOR,06.96
de,T-K-O-M,07.00
,UFFEPUFFE,07.03
,TIMECOP,07.05
,ACE75ACE75ACE,07.06
#Fun Tub16
gb,TWE2001,01.35
de,T-K-O-M,01.46
jp,GREEN-CAT_M75,01.48
se,UFFE,01.61
,DAGREATEST255,01.65
jp,DORITARO,01.65
gb,EASYRIDER56,01.71
gb,FLASHERTAIT,01.83
,SHAWNKHODA,01.85
,CONCEPTFLY,01.90
#Fun Tub17
,KOMACHAN,00.00
,DAGREATEST255,00.00
jp,DORITARO,00.00
gb,FLASHERTAIT,00.00
se,UFFE,00.00
gb,EASYRIDER56,00.00
de,T-K-O-M,00.00
jp,OCHLMUSHYA,00.00
gb,ROCKYWASHERE2008,00.00
jp,GREEN-CAT_M75,00.00
#Fun Tub18
se,UFFE,00.00
de,T-K-O-M,00.00
jp,OCHLMUSHYA,00.00
jp,GREEN-CAT_M75,00.00
gb,TWE2001,00.00
,DAGREATEST255,01.05
,KOMACHAN,01.23
jp,DORITARO,01.25
gb,EASYRIDER56,01.25
gb,FLASHERTAIT,01.25
#Fun Tub19
gb,TWE2001,00.56
de,T-K-O-M,00.91
gb,TAYLORTHEKING1,00.91
,DAGREATEST255,00.95
jp,GREEN-CAT_M75,00.96
se,UFFE,01.00
gb,AERNATIVE,01.05
gb,FLASHERTAIT,01.11
us,WALLY3936,01.15
jp,BONBOONBOOON,01.16
#Fun Tub20
,BLACKBIRD20,00.00
se,UFFE,00.00
,ACE75ACE75ACE,00.00
,SAULH,00.00
,GTH99,00.00
,WAYNE_PARKOURMAN,00.00
,KOMACHAN,00.00
,SPYDER68,00.00
,DAGREATEST255,00.00
,SPLMS,00.00
